iter	Passed	Remaining
0	46	46639
1	47	23504
2	47	15774
3	47	11904
4	48	9583
5	48	8037
6	48	6931
7	49	6100
8	49	5452
9	49	4933
10	50	4512
11	50	4160
12	50	3861
13	51	3605
14	51	3384
15	51	3189
16	52	3020
17	52	2868
18	52	2734
19	53	2610
20	53	2510
21	54	2414
22	54	2327
23	55	2245
24	55	2174
25	56	2102
26	56	2035
27	56	1971
28	57	1914
29	57	1859
30	57	1808
31	58	1760
32	58	1715
33	58	1673
34	59	1633
35	59	1595
36	59	1559
37	60	1526
38	60	1494
39	60	1463
40	61	1435
41	61	1407
42	62	1382
43	62	1357
44	62	1333
45	63	1310
46	63	1287
47	63	1266
48	64	1246
49	64	1226
50	64	1207
51	65	1189
52	65	1171
53	65	1154
54	66	1138
55	66	1122
56	66	1107
57	67	1093
58	67	1078
59	67	1064
60	68	1051
61	68	1038
62	68	1025
63	69	1013
64	69	1002
65	70	990
66	70	979
67	70	968
68	71	958
69	71	948
70	71	938
71	72	928
72	72	919
73	72	910
74	73	901
75	73	892
76	73	883
77	74	875
78	74	867
79	74	859
80	75	851
81	75	843
82	75	834
83	75	827
84	76	820
85	76	813
86	76	806
87	77	799
88	77	793
89	77	787
90	78	781
91	78	775
92	78	769
93	79	763
94	79	757
95	79	752
96	80	746
97	80	741
98	80	735
99	81	730
100	81	725
101	81	721
102	82	716
103	82	711
104	82	706
105	83	702
106	83	698
107	83	693
108	84	689
109	84	684
110	84	680
111	85	676
112	85	672
113	85	668
114	86	663
115	86	659
116	86	655
117	87	651
118	87	647
119	87	644
120	88	640
121	88	636
122	88	633
123	89	629
124	89	626
125	89	622
126	90	619
127	90	615
128	90	612
129	91	609
130	91	606
131	91	603
132	92	600
133	92	597
134	92	594
135	93	591
136	93	588
137	93	585
138	94	582
139	94	579
140	94	577
141	94	573
142	95	570
143	95	568
144	95	565
145	96	562
146	96	560
147	96	557
148	97	555
149	97	553
150	97	550
151	98	548
152	98	545
153	98	543
154	99	540
155	99	538
156	99	536
157	100	534
158	100	531
159	100	529
160	101	526
161	101	524
162	101	522
163	101	519
164	102	517
165	102	515
166	102	513
167	103	511
168	103	509
169	103	507
170	104	505
171	104	503
172	105	502
